Numer of labeled samples:24278   AUC:0.930
Numer of labeled samples:24232   AUC:0.938
Numer of labeled samples:27076   AUC:0.931
Numer of labeled samples:26892   AUC:0.946
Numer of labeled samples:27777   AUC:0.938
Numer of labeled samples:27946   AUC:0.943
Numer of labeled samples:27965   AUC:0.946
Numer of labeled samples:28599   AUC:0.919
Numer of labeled samples:26785   AUC:0.941
Numer of labeled samples:26878   AUC:0.945
Numer of labeled samples:26204   AUC:0.945
Numer of labeled samples:26358   AUC:0.945
Numer of labeled samples:23909   AUC:0.950
Numer of labeled samples:23574   AUC:0.949
Numer of labeled samples:22530   AUC:0.950
Numer of labeled samples:23016   AUC:0.950
Numer of labeled samples:22484   AUC:0.948
Numer of labeled samples:26188   AUC:0.945
Numer of labeled samples:22960   AUC:0.951
Numer of labeled samples:22504   AUC:0.953
Numer of labeled samples:22605   AUC:0.956
Numer of labeled samples:22723   AUC:0.953
Numer of labeled samples:22711   AUC:0.951
Numer of labeled samples:22369   AUC:0.951
Numer of labeled samples:22663   AUC:0.954
Numer of labeled samples:23402   AUC:0.954
Numer of labeled samples:23241   AUC:0.957
Numer of labeled samples:22684   AUC:0.956
Numer of labeled samples:22914   AUC:0.958
Numer of labeled samples:23007   AUC:0.954
Numer of labeled samples:22647   AUC:0.957
Numer of labeled samples:23202   AUC:0.961
Numer of labeled samples:23106   AUC:0.963
Numer of labeled samples:23019   AUC:0.956
Numer of labeled samples:23246   AUC:0.960
Numer of labeled samples:22939   AUC:0.958
Numer of labeled samples:23225   AUC:0.964
Numer of labeled samples:23801   AUC:0.963
Numer of labeled samples:23302   AUC:0.965
Numer of labeled samples:23450   AUC:0.965
Numer of labeled samples:23368   AUC:0.965
Numer of labeled samples:23398   AUC:0.963
Numer of labeled samples:23680   AUC:0.968
Numer of labeled samples:23529   AUC:0.966
Numer of labeled samples:23553   AUC:0.966
Numer of labeled samples:23179   AUC:0.963
Numer of labeled samples:23863   AUC:0.970
Numer of labeled samples:23989   AUC:0.968
Numer of labeled samples:24222   AUC:0.972
Numer of labeled samples:23699   AUC:0.967
Numer of labeled samples:24163   AUC:0.971
Numer of labeled samples:24364   AUC:0.971
Numer of labeled samples:24091   AUC:0.971
Numer of labeled samples:23867   AUC:0.969
Numer of labeled samples:23837   AUC:0.970
Numer of labeled samples:23905   AUC:0.971
Numer of labeled samples:24033   AUC:0.975
Numer of labeled samples:24140   AUC:0.973
Numer of labeled samples:24214   AUC:0.972
Numer of labeled samples:24120   AUC:0.974
Numer of labeled samples:24301   AUC:0.978
Numer of labeled samples:24428   AUC:0.974
Numer of labeled samples:24463   AUC:0.976
Numer of labeled samples:24582   AUC:0.977
Numer of labeled samples:24556   AUC:0.976
Numer of labeled samples:24357   AUC:0.973
Numer of labeled samples:24647   AUC:0.978
Numer of labeled samples:24452   AUC:0.980
Numer of labeled samples:24966   AUC:0.980
Numer of labeled samples:24520   AUC:0.978
Numer of labeled samples:24559   AUC:0.977
Numer of labeled samples:24520   AUC:0.975
Numer of labeled samples:24699   AUC:0.979
Numer of labeled samples:24622   AUC:0.976
Numer of labeled samples:24696   AUC:0.980
Numer of labeled samples:24604   AUC:0.979
Numer of labeled samples:25136   AUC:0.980
Numer of labeled samples:24774   AUC:0.978
Numer of labeled samples:24926   AUC:0.981
Numer of labeled samples:25077   AUC:0.982
Numer of labeled samples:25135   AUC:0.984
Numer of labeled samples:24874   AUC:0.978
Numer of labeled samples:24918   AUC:0.982
Numer of labeled samples:25185   AUC:0.985
Numer of labeled samples:25166   AUC:0.983
Numer of labeled samples:25060   AUC:0.983
Numer of labeled samples:25254   AUC:0.984
Numer of labeled samples:24937   AUC:0.985
Numer of labeled samples:25337   AUC:0.986
Numer of labeled samples:25236   AUC:0.985
Numer of labeled samples:25160   AUC:0.983
Numer of labeled samples:25155   AUC:0.985
Numer of labeled samples:25239   AUC:0.984
Numer of labeled samples:25381   AUC:0.983
Numer of labeled samples:25399   AUC:0.983
Numer of labeled samples:25043   AUC:0.983
Numer of labeled samples:25495   AUC:0.986
Numer of labeled samples:25286   AUC:0.984
Numer of labeled samples:25376   AUC:0.984
Numer of labeled samples:25376   AUC:0.984
Numer of labeled samples:25240   AUC:0.985
Numer of labeled samples:25518   AUC:0.984
Numer of labeled samples:25509   AUC:0.986
Numer of labeled samples:25443   AUC:0.983
Numer of labeled samples:25500   AUC:0.986
Numer of labeled samples:25427   AUC:0.986
Numer of labeled samples:25486   AUC:0.984
Numer of labeled samples:25469   AUC:0.983
Numer of labeled samples:25557   AUC:0.988
Numer of labeled samples:29625   AUC:0.967
Numer of labeled samples:25795   AUC:0.991
Numer of labeled samples:25501   AUC:0.986
Numer of labeled samples:25713   AUC:0.990
Numer of labeled samples:25626   AUC:0.988
Numer of labeled samples:25675   AUC:0.990
Numer of labeled samples:25661   AUC:0.990
Numer of labeled samples:25818   AUC:0.989
Numer of labeled samples:25000   AUC:0.984
Numer of labeled samples:25649   AUC:0.988
Numer of labeled samples:25737   AUC:0.989
Numer of labeled samples:25401   AUC:0.983
Numer of labeled samples:25773   AUC:0.988
Numer of labeled samples:25962   AUC:0.990
Numer of labeled samples:25588   AUC:0.987
Numer of labeled samples:25947   AUC:0.989
Numer of labeled samples:25760   AUC:0.990
Numer of labeled samples:25882   AUC:0.989
Numer of labeled samples:25870   AUC:0.990
Numer of labeled samples:25689   AUC:0.987
Numer of labeled samples:25829   AUC:0.990
Numer of labeled samples:25988   AUC:0.990
Numer of labeled samples:25985   AUC:0.991
Numer of labeled samples:25879   AUC:0.988
Numer of labeled samples:26027   AUC:0.990
Numer of labeled samples:25961   AUC:0.992
Numer of labeled samples:25906   AUC:0.990
Numer of labeled samples:25832   AUC:0.989
Numer of labeled samples:25892   AUC:0.990
Numer of labeled samples:25961   AUC:0.990
Numer of labeled samples:25920   AUC:0.991
Numer of labeled samples:25930   AUC:0.989
Numer of labeled samples:26006   AUC:0.991
Numer of labeled samples:26135   AUC:0.990
Numer of labeled samples:26158   AUC:0.990
Numer of labeled samples:25907   AUC:0.989
Numer of labeled samples:25987   AUC:0.989
Numer of labeled samples:25844   AUC:0.990
Numer of labeled samples:25906   AUC:0.990
Numer of labeled samples:26068   AUC:0.989
Numer of labeled samples:25834   AUC:0.988
Numer of labeled samples:26091   AUC:0.990
Numer of labeled samples:25983   AUC:0.989
Numer of labeled samples:26029   AUC:0.990
Numer of labeled samples:26198   AUC:0.991
Numer of labeled samples:26038   AUC:0.989
Numer of labeled samples:26133   AUC:0.989
Numer of labeled samples:26152   AUC:0.990
Numer of labeled samples:25852   AUC:0.988
Numer of labeled samples:25948   AUC:0.989
Numer of labeled samples:25918   AUC:0.987
Numer of labeled samples:26195   AUC:0.991
Numer of labeled samples:26129   AUC:0.989
Numer of labeled samples:26221   AUC:0.992
Numer of labeled samples:26175   AUC:0.990
Numer of labeled samples:26057   AUC:0.990
Numer of labeled samples:26122   AUC:0.991
Numer of labeled samples:25918   AUC:0.988
Numer of labeled samples:26101   AUC:0.990
Numer of labeled samples:26064   AUC:0.990
Numer of labeled samples:26012   AUC:0.989
Numer of labeled samples:26275   AUC:0.992
Numer of labeled samples:26143   AUC:0.991
Numer of labeled samples:26282   AUC:0.991
Numer of labeled samples:26386   AUC:0.992
Numer of labeled samples:26062   AUC:0.989
Numer of labeled samples:26124   AUC:0.992
Numer of labeled samples:26117   AUC:0.990
Numer of labeled samples:26159   AUC:0.991
Numer of labeled samples:26291   AUC:0.991
Numer of labeled samples:26241   AUC:0.990
Numer of labeled samples:26200   AUC:0.991
Numer of labeled samples:26096   AUC:0.991
Numer of labeled samples:26291   AUC:0.990
Numer of labeled samples:26275   AUC:0.991
Numer of labeled samples:26339   AUC:0.991
Numer of labeled samples:26153   AUC:0.991
Numer of labeled samples:26166   AUC:0.991
Numer of labeled samples:26346   AUC:0.988
Numer of labeled samples:26316   AUC:0.993
Numer of labeled samples:26159   AUC:0.991
Numer of labeled samples:26126   AUC:0.989
Numer of labeled samples:26082   AUC:0.991
Numer of labeled samples:26393   AUC:0.992
Numer of labeled samples:26359   AUC:0.991
Numer of labeled samples:26356   AUC:0.992
Numer of labeled samples:26177   AUC:0.991
Numer of labeled samples:26264   AUC:0.988
Numer of labeled samples:26252   AUC:0.992
Numer of labeled samples:26307   AUC:0.992
Numer of labeled samples:26144   AUC:0.989
Numer of labeled samples:26225   AUC:0.991
Numer of labeled samples:26263   AUC:0.990
Numer of labeled samples:26299   AUC:0.992
Numer of labeled samples:26285   AUC:0.990
Numer of labeled samples:26415   AUC:0.991
Numer of labeled samples:26267   AUC:0.992
Numer of labeled samples:26337   AUC:0.990
Numer of labeled samples:26329   AUC:0.991
Numer of labeled samples:26401   AUC:0.992
Numer of labeled samples:26239   AUC:0.992
Numer of labeled samples:26301   AUC:0.991
Numer of labeled samples:26340   AUC:0.993
Numer of labeled samples:26442   AUC:0.992
Numer of labeled samples:26310   AUC:0.988
Numer of labeled samples:26277   AUC:0.989
Numer of labeled samples:26198   AUC:0.990
Numer of labeled samples:26349   AUC:0.992
Numer of labeled samples:26424   AUC:0.990
Numer of labeled samples:26258   AUC:0.991
Numer of labeled samples:26346   AUC:0.991
Numer of labeled samples:26452   AUC:0.992
Numer of labeled samples:26245   AUC:0.989
Numer of labeled samples:26388   AUC:0.987
Numer of labeled samples:26241   AUC:0.990
Numer of labeled samples:26292   AUC:0.992
Numer of labeled samples:26443   AUC:0.992
Numer of labeled samples:26511   AUC:0.991
Numer of labeled samples:26401   AUC:0.992
Numer of labeled samples:26233   AUC:0.990
Numer of labeled samples:25576   AUC:0.990
Numer of labeled samples:26453   AUC:0.991
Numer of labeled samples:26289   AUC:0.990
Numer of labeled samples:26452   AUC:0.992
Numer of labeled samples:26278   AUC:0.990
Numer of labeled samples:26387   AUC:0.992
Numer of labeled samples:26356   AUC:0.991
Numer of labeled samples:26508   AUC:0.992
Numer of labeled samples:26244   AUC:0.992
Numer of labeled samples:26032   AUC:0.989
Numer of labeled samples:26369   AUC:0.992
Numer of labeled samples:26192   AUC:0.986
Numer of labeled samples:26323   AUC:0.993
Numer of labeled samples:26427   AUC:0.991
Numer of labeled samples:26228   AUC:0.991
Numer of labeled samples:26303   AUC:0.991
Numer of labeled samples:26398   AUC:0.990
Numer of labeled samples:26395   AUC:0.991
Numer of labeled samples:26305   AUC:0.990
Numer of labeled samples:25966   AUC:0.986
Numer of labeled samples:26357   AUC:0.990
Numer of labeled samples:26390   AUC:0.991
Numer of labeled samples:26354   AUC:0.993
Numer of labeled samples:26324   AUC:0.992
Numer of labeled samples:26320   AUC:0.993
Numer of labeled samples:26544   AUC:0.994
Numer of labeled samples:26262   AUC:0.990
Numer of labeled samples:26463   AUC:0.991
Numer of labeled samples:26414   AUC:0.991
Numer of labeled samples:26171   AUC:0.985
Numer of labeled samples:26384   AUC:0.992
Numer of labeled samples:26484   AUC:0.991
Numer of labeled samples:26486   AUC:0.991
Numer of labeled samples:26544   AUC:0.993
Numer of labeled samples:26402   AUC:0.989
Numer of labeled samples:26422   AUC:0.992
Numer of labeled samples:26453   AUC:0.991
Numer of labeled samples:26364   AUC:0.991
Numer of labeled samples:26524   AUC:0.993
Numer of labeled samples:26360   AUC:0.990
Numer of labeled samples:26182   AUC:0.990
Numer of labeled samples:26370   AUC:0.992
Numer of labeled samples:26309   AUC:0.990
Numer of labeled samples:26526   AUC:0.992
Numer of labeled samples:26400   AUC:0.992
Numer of labeled samples:26524   AUC:0.993
Numer of labeled samples:26424   AUC:0.992
Numer of labeled samples:26457   AUC:0.991
Numer of labeled samples:26445   AUC:0.992
Numer of labeled samples:26451   AUC:0.992
Numer of labeled samples:26459   AUC:0.993
Numer of labeled samples:26427   AUC:0.989
Numer of labeled samples:26457   AUC:0.992
Numer of labeled samples:26758   AUC:0.990
Numer of labeled samples:26688   AUC:0.991
Numer of labeled samples:26783   AUC:0.991
Numer of labeled samples:26715   AUC:0.990
Numer of labeled samples:26764   AUC:0.990
Numer of labeled samples:26762   AUC:0.991
Numer of labeled samples:26817   AUC:0.990
Numer of labeled samples:26769   AUC:0.989
Numer of labeled samples:26813   AUC:0.990
Numer of labeled samples:26783   AUC:0.992
Numer of labeled samples:26810   AUC:0.990
Numer of labeled samples:26802   AUC:0.990
Numer of labeled samples:26838   AUC:0.990
Numer of labeled samples:26800   AUC:0.990
Numer of labeled samples:26829   AUC:0.989
Numer of labeled samples:26811   AUC:0.990
Numer of labeled samples:26852   AUC:0.990
Numer of labeled samples:26795   AUC:0.990
Numer of labeled samples:26843   AUC:0.990
Numer of labeled samples:26819   AUC:0.989
Numer of labeled samples:26847   AUC:0.988
Numer of labeled samples:26843   AUC:0.988
Numer of labeled samples:26840   AUC:0.989
Numer of labeled samples:26846   AUC:0.990
Numer of labeled samples:26873   AUC:0.990
Numer of labeled samples:26882   AUC:0.990
Numer of labeled samples:26866   AUC:0.988
Numer of labeled samples:26866   AUC:0.988
Numer of labeled samples:26880   AUC:0.989
Numer of labeled samples:26852   AUC:0.988
Numer of labeled samples:26894   AUC:0.987
Numer of labeled samples:26880   AUC:0.989
Numer of labeled samples:26884   AUC:0.988
Numer of labeled samples:26876   AUC:0.989
Numer of labeled samples:26891   AUC:0.989
Numer of labeled samples:26877   AUC:0.988
Numer of labeled samples:26889   AUC:0.987
Numer of labeled samples:26871   AUC:0.989
Numer of labeled samples:26886   AUC:0.988
Numer of labeled samples:26882   AUC:0.987
Numer of labeled samples:26918   AUC:0.987
Numer of labeled samples:26896   AUC:0.989
Numer of labeled samples:26916   AUC:0.988
Numer of labeled samples:26884   AUC:0.988
Numer of labeled samples:26908   AUC:0.987
Numer of labeled samples:26908   AUC:0.988
Numer of labeled samples:26919   AUC:0.988
